codigo;nome;categoria;preco;qt;descricao;marca;promocao;imagem
1552;FONTE ATX 200W PW1610 HAYOM;Fonte;60,00;1;Fonte ATX 200W PW1610;Hayom;nao;hayom_fonte200w.webp
1081;FONTE REAL 1000W ATX AEROCOOL KCAS PLUS S/CABO;Fonte;945,00;1;Fonte Real 1000W ATX Aerocool KCAS Plus sem cabo;Aerocool;nao;aerocool_fonte1000w.webp
401636;FONTE REAL 400W ATX AEROCOOL KCAS PFC 64901;Fonte;305,00;1;Fonte Real 400W ATX Aerocool KCAS PFC;Aerocool;nao;aerocool_fonte400w.webp
040547;FONTE REAL 500W ATX AEROCOOL KCAS 80 PLUS 59765;Fonte;375,00;1;Fonte Real 500W ATX Aerocool KCAS 80 Plus;Aerocool;nao;aerocool_fonte500w.webp
1116;FONTE REAL 700W ATX AEROCOOL KCAS PFC ATIVO;Fonte;397,76;1;Fonte Real 700W ATX Aerocool KCAS PFC Ativo;Aerocool;nao;aerocool_fonte700w.webp
000052;FONTE REAL 500W CORSAIR VS500 80 PLUS CP9020223BR;Fonte;492,00;1;Fonte Real 500W Corsair VS500 80 Plus;Corsair;nao;corsair_fonte500w.webp
402056;FONTE REAL 500W ATX MGS;Fonte;148,00;1;Fonte Real 500W ATX MGS;MGS;nao;mgs_fonte500w.webp
1883;FONTE REAL 750W 80 PLUS MGS;Fonte;390,00;1;Fonte Real 750W 80 Plus MGS;MGS;nao;mgs_fonte750w.webp
